video_id,start,duration,text
ru44DngJYoA,83.36,3.92,on us when we were younger. I don't know
ru44DngJYoA,85.28,4.96,"if you find the same to be true, but for"
ru44DngJYoA,87.28,6.96,"me, man, Jay, when I was young, I I was"
ru44DngJYoA,90.24,6.16,such a bad communicator. I was so bad at
ru44DngJYoA,94.24,3.839,interactions with human beings. And the
ru44DngJYoA,96.4,3.759,reason for that is because English is my
ru44DngJYoA,98.079,4.561,"third language. So, I grew up first"
ru44DngJYoA,100.159,5.041,learning a Chinese dialect called Dio.
ru44DngJYoA,102.64,4.159,And then I learned Vietnamese and then I
ru44DngJYoA,105.2,3.76,learned English. So there was just a
ru44DngJYoA,106.799,4.0,period of my life where I I didn't
ru44DngJYoA,108.96,4.56,understand what anybody was saying to me
ru44DngJYoA,110.799,4.081,and I couldn't communicate with other
ru44DngJYoA,113.52,3.68,people. So I just went through a period
ru44DngJYoA,114.88,4.32,of life where I felt really isolated. I
ru44DngJYoA,117.2,3.84,didn't realize that I was doing it in my
ru44DngJYoA,119.2,3.36,career. But as I learned how to
ru44DngJYoA,121.04,2.64,"communicate more effectively, became a"
ru44DngJYoA,122.56,3.12,"professional speaker, all of this, I"
ru44DngJYoA,123.68,3.36,"went, ""Oh, wow. Now I have this skill"
ru44DngJYoA,125.68,4.24,"that I can teach other people."" So the"
ru44DngJYoA,127.04,5.6,"moment I just tried teaching it, I felt"
ru44DngJYoA,129.92,5.039,fulfillment. And I never really felt
ru44DngJYoA,132.64,3.84,that level of fulfillment before. That's
ru44DngJYoA,134.959,3.761,"when I decided, ""Oh, wow. It's cool to"
ru44DngJYoA,136.48,3.44,do it yourself. It's even cooler to help
ru44DngJYoA,138.72,3.92,"other people do it."" And then that's"
ru44DngJYoA,139.92,5.28,kind of when I went allin with it and
ru44DngJYoA,142.64,3.92,"found so much fulfillment. And again,"
ru44DngJYoA,145.2,2.72,"I'm sure you get this all the time, but"
ru44DngJYoA,146.56,2.64,"it's the comments, the emails you get"
ru44DngJYoA,147.92,2.959,"and you're like, ""Oh, wow. I I'm doing"
ru44DngJYoA,149.2,4.08,"something that matters."" Yeah. Whereas"
ru44DngJYoA,150.879,4.401,"before I was a magician, so I did that"
ru44DngJYoA,153.28,3.52,for years. And it feels weird to say it
ru44DngJYoA,155.28,3.2,because I don't want to talk down on
ru44DngJYoA,156.8,5.04,what magicians do. Not at all. which is
ru44DngJYoA,158.48,5.68,for me the applause at times when I was
ru44DngJYoA,161.84,3.679,doing magic it felt really empty to me
ru44DngJYoA,164.16,3.12,because I did it for so long and it
ru44DngJYoA,165.519,3.521,started to feel a little bit empty and
ru44DngJYoA,167.28,4.0,then when I started teaching public
ru44DngJYoA,169.04,5.04,speaking and communication skills it
ru44DngJYoA,171.28,4.319,felt full it felt better it felt more
ru44DngJYoA,174.08,3.04,fulfilling from the way you're talking
ru44DngJYoA,175.599,4.28,about it you're saying that everyone can
ru44DngJYoA,177.12,6.119,go from being a shy
ru44DngJYoA,179.879,5.961,insecure unconfident speaker to being a
ru44DngJYoA,183.239,3.961,prolific speaker like yourself yes
ru44DngJYoA,185.84,2.24,because it's all just a series of
ru44DngJYoA,187.2,2.08,behaviors
ru44DngJYoA,188.08,2.4,Everything you and I are doing right
ru44DngJYoA,189.28,2.959,"now, everything you see a great"
ru44DngJYoA,190.48,4.24,"communicator do on stage, everything you"
ru44DngJYoA,192.239,5.041,"see a great creator do on video, it's"
ru44DngJYoA,194.72,4.239,just a series of behaviors. The way
ru44DngJYoA,197.28,3.28,"you're moving your mouth, the way you're"
ru44DngJYoA,198.959,3.36,"manipulating airflow, the way you're"
ru44DngJYoA,200.56,3.92,"moving your hands, it's all just"
ru44DngJYoA,202.319,4.881,"behaviors. So when people say, ""Oh, I'm"
ru44DngJYoA,204.48,4.8,"shy."" I always say to them, ""Oh, that's"
ru44DngJYoA,207.2,4.44,because you've been practicing the shy
ru44DngJYoA,209.28,4.64,"behaviors for the last 15, 20, 30, 40"
ru44DngJYoA,211.64,3.48,"years, being a confident communicator."""
ru44DngJYoA,213.92,2.64,That's just another series of behaviors
ru44DngJYoA,215.12,4.32,that you can practice. And if you
ru44DngJYoA,216.56,4.88,"practice that for 10, 20, 30, you'd be a"
ru44DngJYoA,219.44,3.92,"confident communicator, right? So it's"
ru44DngJYoA,221.44,3.76,just behaviors that we get attached to
ru44DngJYoA,223.36,3.519,because it becomes a part of our
ru44DngJYoA,225.2,4.0,identity. And then I think when it
ru44DngJYoA,226.879,5.44,"becomes a part of our identity, all of a"
ru44DngJYoA,229.2,5.44,"sudden now we feel like we're stuck, but"
ru44DngJYoA,232.319,3.28,you're not. And then there's this really
ru44DngJYoA,234.64,2.48,"interesting concept, I don't know if"
ru44DngJYoA,235.599,4.241,"you've come across it before, where it's"
ru44DngJYoA,237.12,4.24,where does your voice come from? Where
ru44DngJYoA,239.84,3.679,do you get your voice from? You you
ru44DngJYoA,241.36,3.519,learn how to communicate based on the
ru44DngJYoA,243.519,2.961,people you were inspired by when you
ru44DngJYoA,244.879,2.881,were young and you just learn behaviors
ru44DngJYoA,246.48,3.44,from them. Like I'm watching my daughter
ru44DngJYoA,247.76,5.44,"now, my daughter Melody, she's one and I"
ru44DngJYoA,249.92,5.76,can see her watch us and then start to
ru44DngJYoA,253.2,3.999,mimic the things we do. Right. Right. My
ru44DngJYoA,255.68,3.04,my wife the other day met her spaghetti.
ru44DngJYoA,257.199,2.88,She wouldn't eat it. So my wife was
ru44DngJYoA,258.72,2.639,"furious. She was so upset. She was like,"
ru44DngJYoA,260.079,3.12,"""Ah, you're not eating it."" And then she"
ru44DngJYoA,261.359,3.681,"goes, ""Ah."" She does the exact same"
ru44DngJYoA,263.199,4.0,"thing. Right. And then my son, he picks"
ru44DngJYoA,265.04,3.92,up the way I speak cuz he's seven now. I
ru44DngJYoA,267.199,4.481,notice he has certain nuances that I
ru44DngJYoA,268.96,4.48,"have. So again, the voice you currently"
ru44DngJYoA,271.68,3.12,"have, people think, ""Oh, that's my"
ru44DngJYoA,273.44,2.88,"natural voice."" It's like, ""No, no, it's"
ru44DngJYoA,274.8,2.64,"not your natural voice."" Yeah. You lost"
ru44DngJYoA,276.32,3.04,your natural voice when you were two or
ru44DngJYoA,277.44,3.68,"three years old, right? Whereas the"
ru44DngJYoA,279.36,4.8,"voice you have now, that's your habitual"
ru44DngJYoA,281.12,4.639,voice. It's just a series of habits. And
ru44DngJYoA,284.16,4.0,the thing that I find the first most
ru44DngJYoA,285.759,4.0,fascinating is that when the habits move
ru44DngJYoA,288.16,4.4,from your conscious mind and it goes
ru44DngJYoA,289.759,4.561,"into your subconscious mind, now you"
ru44DngJYoA,292.56,3.919,feel it's a part of you and now you're
ru44DngJYoA,294.32,3.28,stuck with it. But in the beginning of
ru44DngJYoA,296.479,2.641,"your life, you have to consciously"
ru44DngJYoA,297.6,2.8,"think, ""Oh, oh, dad speaks really"
ru44DngJYoA,299.12,3.04,"softly, so I'm going to speak really"
ru44DngJYoA,300.4,3.28,"softly."" But the moment you do that for"
ru44DngJYoA,302.16,3.44,"2, three years, now it moves into your"
ru44DngJYoA,303.68,4.239,"subconscious mind. And then you go, ""Oh,"
ru44DngJYoA,305.6,4.4,"no, that's me."" No, no, it's it's still"
ru44DngJYoA,307.919,4.321,"just a series of behaviors, and that's"
ru44DngJYoA,310.0,6.32,all that it is. Yeah. I've always loved
ru44DngJYoA,312.24,5.76,that model of unconscious incompetence
ru44DngJYoA,316.32,3.76,to unconscious competence. And for
ru44DngJYoA,318.0,4.24,"anyone who doesn't know it, four stages,"
ru44DngJYoA,320.08,5.04,right? The four stages. The the bottom
ru44DngJYoA,322.24,4.48,stage is unconscious incompetence. When
ru44DngJYoA,325.12,3.919,you are unconscious of your
ru44DngJYoA,326.72,4.16,"incompetence, you have no idea what"
ru44DngJYoA,329.039,4.401,you're doing wrong. You probably don't
ru44DngJYoA,330.88,4.72,know that you um are try and fill every
ru44DngJYoA,333.44,4.64,"pause, say like at the end of every"
ru44DngJYoA,335.6,4.56,"sentence, whatever it may be. And we all"
ru44DngJYoA,338.08,4.24,"have an unconscious incompetence,"
ru44DngJYoA,340.16,3.92,especially in the way we speak. And
ru44DngJYoA,342.32,3.52,that's when we have this mindset that
ru44DngJYoA,344.08,3.679,you're saying where we think it's our
ru44DngJYoA,345.84,3.84,"voice, but actually it's just practice"
ru44DngJYoA,347.759,3.681,behaviors. M and then above from that
ru44DngJYoA,349.68,3.6,which is what I love. This is what you
ru44DngJYoA,351.44,2.92,do so phenomenally well when you're with
ru44DngJYoA,353.28,4.0,your
ru44DngJYoA,354.36,5.559,audiences conscious incompetence. You're
ru44DngJYoA,357.28,5.52,helping people become aware of how our
ru44DngJYoA,359.919,5.361,"body language, our voice, our tonality"
ru44DngJYoA,362.8,5.88,affects us. And then above that for
ru44DngJYoA,365.28,6.24,everyone who doesn't know the model is
ru44DngJYoA,368.68,6.04,conscious competence. Correct? where now
ru44DngJYoA,371.52,6.32,you know why you move your hand that way
ru44DngJYoA,374.72,4.96,and why you choose to lower your voice
ru44DngJYoA,377.84,3.44,or lower your pitch or whatever it may
ru44DngJYoA,379.68,3.76,be. And that's kind of a frustrating
ru44DngJYoA,381.28,4.8,part for people to be at stage three
ru44DngJYoA,383.44,4.08,because they go I know it but V I still
ru44DngJYoA,386.08,2.72,have to think about it. So when they do
ru44DngJYoA,387.52,2.32,"it, it's really interesting cuz I see my"
ru44DngJYoA,388.8,4.08,students do this all the time where they
ru44DngJYoA,389.84,4.56,"go, ""Hello everybody. It's great to be"
ru44DngJYoA,392.88,3.759,"here."" And then they go, ""Vin, this"
ru44DngJYoA,394.4,4.799,"feels so fake. It feels so phony."" But"
ru44DngJYoA,396.639,4.801,"I'm like, ""You have to go through that"
ru44DngJYoA,399.199,4.0,"stage to get to stage four, which is"
ru44DngJYoA,401.44,3.92,"unconscious competence, which is"
ru44DngJYoA,403.199,3.681,"mastery."" Yes. And a lot of people"
ru44DngJYoA,405.36,3.04,aren't willing to push through that
ru44DngJYoA,406.88,3.28,"because they go, ""No, it doesn't feel"
ru44DngJYoA,408.4,4.16,"natural. So that means it's not right."""
ru44DngJYoA,410.16,3.44,Let's talk about that. That's a really I
ru44DngJYoA,412.56,2.8,think that's one of the biggest
ru44DngJYoA,413.6,4.879,challenges because I think we're both
ru44DngJYoA,415.36,5.6,sitting here as people who've trained
ru44DngJYoA,418.479,4.961,worked hard at our craft worked hard at
ru44DngJYoA,420.96,4.48,our art. Yeah. And now at this point it
ru44DngJYoA,423.44,5.039,does feel like unconscious competence.
ru44DngJYoA,425.44,4.56,Yeah. But a lot of people say well no
ru44DngJYoA,428.479,3.361,but if you had to learn it then it's
ru44DngJYoA,430.0,4.88,fake. It's unnatural. It's not real.
ru44DngJYoA,431.84,6.56,It's phony. But what's the difference
ru44DngJYoA,434.88,5.36,between developing a skill versus faking
ru44DngJYoA,438.4,4.48,it? Like what's the difference? I love
ru44DngJYoA,440.24,7.359,your definition of home where you say
ru44DngJYoA,442.88,6.92,home is the familiar right and to me the
ru44DngJYoA,447.599,4.961,way you currently communicate you have a
ru44DngJYoA,449.8,4.2,home and that is because those behaviors
ru44DngJYoA,452.56,3.359,you've been repeating for the last 10 20
ru44DngJYoA,454.0,3.919,30 years right so that feels like home
ru44DngJYoA,455.919,3.921,to you whereas what people don't realize
ru44DngJYoA,457.919,4.241,is and I I don't mean to take a long
ru44DngJYoA,459.84,3.919,explanation for I think it's important
ru44DngJYoA,462.16,3.68,when you used to ask me what my home was
ru44DngJYoA,463.759,4.72,when I was young I would say my suburb
ru44DngJYoA,465.84,4.24,so I'd say Ssbury Downs then as I got
ru44DngJYoA,468.479,3.361,"older I started explor explore my city,"
ru44DngJYoA,470.08,3.6,"I I'll say Adelaide is my home, South"
ru44DngJYoA,471.84,3.68,"Australia, right? And then as I explored"
ru44DngJYoA,473.68,3.04,"more of my state, then I would say South"
ru44DngJYoA,475.52,2.72,Australia is my home. Then I explore
ru44DngJYoA,476.72,3.52,"more of Australia, I go, Australia is my"
ru44DngJYoA,478.24,4.48,home. Now I've lived in LA and and
ru44DngJYoA,480.24,4.799,"Southern California, oh, I kind of feel"
ru44DngJYoA,482.72,3.84,"like America's my home, too. And then as"
ru44DngJYoA,485.039,3.921,"I travel more of the world, I go, ""Oh,"
ru44DngJYoA,486.56,4.56,"the world is my home."" The same thing"
ru44DngJYoA,488.96,3.84,with your communication skills. You have
ru44DngJYoA,491.12,3.28,"access to this incredible instrument,"
ru44DngJYoA,492.8,3.519,but your home is such a small part of
ru44DngJYoA,494.4,4.0,that instrument. Say a piano has 88
ru44DngJYoA,496.319,4.401,"keys, right? Right now, home to you is"
ru44DngJYoA,498.4,4.0,five keys because you're only familiar
ru44DngJYoA,500.72,3.199,with those five keys. But as you start
ru44DngJYoA,502.4,2.88,to realize you have access to this
ru44DngJYoA,503.919,3.801,"incredible instrument, you start to play"
ru44DngJYoA,505.28,5.12,the other keys. Home becomes the entire
ru44DngJYoA,507.72,4.039,piano. Whereas the struggle that people
ru44DngJYoA,510.4,4.319,have is the moment they do something
ru44DngJYoA,511.759,5.2,that they're unfamiliar with. Instead of
ru44DngJYoA,514.719,4.481,"labeling it as unfamiliar, they label it"
ru44DngJYoA,516.959,4.88,as fake and phony. And what happens the
ru44DngJYoA,519.2,4.959,moment you do that? You stop exploring
ru44DngJYoA,521.839,3.761,your instrument. And now you are limited
ru44DngJYoA,524.159,3.521,to the five keys you've been playing
ru44DngJYoA,525.6,4.12,with your entire life. And I think
ru44DngJYoA,527.68,4.08,there's there's an overattachment to the
ru44DngJYoA,529.72,4.119,familiar which keeps us the same.
ru44DngJYoA,531.76,3.36,"Because when you think about this, most"
ru44DngJYoA,533.839,2.881,"people change the way they dress, they"
ru44DngJYoA,535.12,3.04,"change their glasses, they change their"
ru44DngJYoA,536.72,3.119,"house, they change their car, but they"
ru44DngJYoA,538.16,3.52,never change the way they talk. They
ru44DngJYoA,539.839,4.401,never change the way they communicate
ru44DngJYoA,541.68,4.159,because we are way too attached to the
ru44DngJYoA,544.24,3.92,familiar. And I say to my students this
ru44DngJYoA,545.839,3.68,"all the time, don't be so attached to"
ru44DngJYoA,548.16,3.359,"who you are in the present, you don't"
ru44DngJYoA,549.519,3.361,give the future version of you a chance.
ru44DngJYoA,551.519,2.961,There's a future version of you where
ru44DngJYoA,552.88,3.76,the world is home. There's a future
ru44DngJYoA,554.48,4.88,version of you where you can play all 88
ru44DngJYoA,556.64,4.72,keys. I love that concept of we change
ru44DngJYoA,559.36,3.36,"our hair, we change our glasses, change"
ru44DngJYoA,561.36,2.88,"our clothes, but we don't change the way"
ru44DngJYoA,562.72,3.36,we communicate. And I was going to ask
ru44DngJYoA,564.24,3.92,"you, when you have so many people coming"
ru44DngJYoA,566.08,4.8,"to see you speak, what are the top three"
ru44DngJYoA,568.16,4.239,"things, the practical problems that"
ru44DngJYoA,570.88,2.8,people are coming to solve when they
ru44DngJYoA,572.399,3.361,come to you? So when someone comes and
ru44DngJYoA,573.68,3.599,"says, ""Vin, I need your help."" Yeah."
ru44DngJYoA,575.76,3.199,What are they trying to solve in their
ru44DngJYoA,577.279,4.321,life? the top three things that you
ru44DngJYoA,578.959,4.841,hear. First thing would be they want to
ru44DngJYoA,581.6,4.48,get from stage one unconscious
ru44DngJYoA,583.8,3.96,incompetence to like you've made me
ru44DngJYoA,586.08,3.52,aware of one thing. How can I start to
ru44DngJYoA,587.76,3.519,"become aware of more things? So again,"
ru44DngJYoA,589.6,3.12,self-awareness. So first thing they go
ru44DngJYoA,591.279,4.081,is like how can I become more
ru44DngJYoA,592.72,4.799,self-aware? I've now been I'm awake now
ru44DngJYoA,595.36,4.64,to the problem of my communication. How
ru44DngJYoA,597.519,4.401,can I begin that journey and become more
ru44DngJYoA,600.0,3.839,aware? And when they ask me that
ru44DngJYoA,601.92,3.28,"question, then I share with them a very"
ru44DngJYoA,603.839,2.801,simple technique. And a very simple
ru44DngJYoA,605.2,3.68,technique that I share with them is
ru44DngJYoA,606.64,5.04,record and review. So the only way to
ru44DngJYoA,608.88,4.56,become more aware is if you see yourself
ru44DngJYoA,611.68,3.68,and most people hate watching themselves
ru44DngJYoA,613.44,3.839,on video. Most people hate listening to
ru44DngJYoA,615.36,2.88,themselves on audio. So that means
ru44DngJYoA,617.279,2.321,they've been going through their entire
ru44DngJYoA,618.24,2.24,life avoiding the two most critical
ru44DngJYoA,619.6,2.799,things you need to develop
ru44DngJYoA,620.48,4.88,self-awareness with your communication.
ru44DngJYoA,622.399,4.481,So and they hate this process. So the
ru44DngJYoA,625.36,3.68,process is record a video of you
ru44DngJYoA,626.88,4.24,"speaking for five minutes, right? And"
ru44DngJYoA,629.04,4.239,then when you review and reflect on that
ru44DngJYoA,631.12,4.399,"video, leave it for a day so you're less"
ru44DngJYoA,633.279,4.161,critical of yourself. And once you've
ru44DngJYoA,635.519,3.601,"left it for a day, the first time you"
ru44DngJYoA,637.44,4.24,"grab your phone to review the video, put"
ru44DngJYoA,639.12,4.32,it on mute. And then just look at
ru44DngJYoA,641.68,3.52,yourself. And then as you're looking at
ru44DngJYoA,643.44,3.2,"yourself, take notes. What am I doing"
ru44DngJYoA,645.2,2.879,with my hands? How are my facial
ru44DngJYoA,646.64,3.68,expressions? What am I doing with my
ru44DngJYoA,648.079,4.0,legs? How am I moving? Am I do I have
ru44DngJYoA,650.32,2.959,any visual ticks? So you take a whole
ru44DngJYoA,652.079,2.961,bunch of notes. That's the beginning
ru44DngJYoA,653.279,3.521,process of self-awareness. Then after
ru44DngJYoA,655.04,3.12,"that, turn the volume up. Just listen to"
ru44DngJYoA,656.8,3.279,yourself. Now turn the phone around.
ru44DngJYoA,658.16,3.2,play. Just listen. And as you're
ru44DngJYoA,660.079,3.041,"listening now, listen to the vocal"
ru44DngJYoA,661.36,4.32,qualities. What do you like about your
ru44DngJYoA,663.12,4.0,voice? What don't you like? What can you
ru44DngJYoA,665.68,4.64,hear? How's your rate of speech? How's
ru44DngJYoA,667.12,4.24,your volume? What's your melody like? Do
ru44DngJYoA,670.32,2.4,you hear the passion? If you're
ru44DngJYoA,671.36,3.2,"passionate about something, you'll take"
ru44DngJYoA,672.72,3.679,so many notes when you do this. What are
ru44DngJYoA,674.56,3.6,"your filler words, nonwords? Right? You"
ru44DngJYoA,676.399,3.361,get all of that down. Then the last step
ru44DngJYoA,678.16,3.119,is get it transcribed. So once you
ru44DngJYoA,679.76,3.04,"transcribe it, now you can see the way"
ru44DngJYoA,681.279,3.361,you communicate in a completely
ru44DngJYoA,682.8,4.08,different perspective. You might notice
ru44DngJYoA,684.64,4.56,you speak in circles. I repeated the
ru44DngJYoA,686.88,4.32,same thing four times. What am I doing?
ru44DngJYoA,689.2,3.639,Right? And you'll see different things.
ru44DngJYoA,691.2,4.4,If you just go through that process
ru44DngJYoA,692.839,4.761,"once, you'll get a list of five to 10"
ru44DngJYoA,695.6,4.239,things. Right? That's how you begin your
ru44DngJYoA,697.6,5.04,"journey of self-awareness. Yet, people"
ru44DngJYoA,699.839,4.481,will resist that because it's too
ru44DngJYoA,702.64,4.16,"uncomfortable. They'll record it, but"
ru44DngJYoA,704.32,6.84,they won't watch it. But the ones that
ru44DngJYoA,706.8,9.84,"do, Jay, I immediately get a DM after"
ru44DngJYoA,711.16,7.0,shock. I can't believe I do X. And it's
ru44DngJYoA,716.64,4.8,crazy cuz I I think of one of my
ru44DngJYoA,718.16,5.679,"students right now where he said, ""For 6"
ru44DngJYoA,721.44,4.079,years I've been held back in my career
ru44DngJYoA,723.839,5.041,because my managers and my leaders say
ru44DngJYoA,725.519,6.0,that I lack clarity. I lack authority
ru44DngJYoA,728.88,4.48,"and I lack confidence."" And he goes,"
ru44DngJYoA,731.519,4.481,"""And they give me this feedback yet they"
ru44DngJYoA,733.36,3.919,"don't tell me what I need to improve."""
ru44DngJYoA,736.0,3.68,And do you know what I realized through
ru44DngJYoA,737.279,4.24,doing this recording review process? the
ru44DngJYoA,739.68,4.959,one thing that has robbed me of 6 years
ru44DngJYoA,741.519,5.12,of progress is my ing and aaring. I
ru44DngJYoA,744.639,5.281,can't believe ing and aaring has held me
ru44DngJYoA,746.639,4.481,back. And he was so frustrated. And I
ru44DngJYoA,749.92,2.8,remember I had to tell him I look look
ru44DngJYoA,751.12,4.24,that's I I get your frustration but at
ru44DngJYoA,752.72,5.28,least it didn't hold you back for 20
ru44DngJYoA,755.36,5.599,years and you realized it now. But
ru44DngJYoA,758.0,5.68,something simple as ing and aing held
ru44DngJYoA,760.959,4.641,him back for that long and destroyed his
ru44DngJYoA,763.68,3.52,perception of being a great leader. It's
ru44DngJYoA,765.6,3.28,kind of crazy. Yeah. That's what I
ru44DngJYoA,767.2,3.439,wanted to get to is that's the problem.
ru44DngJYoA,768.88,2.88,And I feel someone may see your work and
ru44DngJYoA,770.639,2.64,"they'll say, ""Well, I don't want to be a"
ru44DngJYoA,771.76,3.68,"public speaker."" That's right. That's"
ru44DngJYoA,773.279,4.161,not the point. The point is there's a
ru44DngJYoA,775.44,4.24,promotion that you're not getting
ru44DngJYoA,777.44,4.72,because you don't have authority. Or the
ru44DngJYoA,779.68,3.76,challenge is you're not able to ask out
ru44DngJYoA,782.16,2.64,the person on a date that you really
ru44DngJYoA,783.44,3.36,want to take out on a date. Like you
ru44DngJYoA,784.8,3.36,don't feel that confidence. Or there's
ru44DngJYoA,786.8,3.279,the challenge of you're in a team
ru44DngJYoA,788.16,3.679,meeting and you feel like your voice is
ru44DngJYoA,790.079,3.601,never heard. People always overlook your
ru44DngJYoA,791.839,3.201,opinion. They don't hear you. What are
ru44DngJYoA,793.68,4.159,some of those stories that you've heard
ru44DngJYoA,795.04,4.88,of people that have those types of
ru44DngJYoA,797.839,4.0,challenges that are coming to you
ru44DngJYoA,799.92,3.359,exactly like the one you just told us?
ru44DngJYoA,801.839,4.721,"They're like, ""Oh, Vin, this is actually"
ru44DngJYoA,803.279,6.56,"solving a daily issue for me."" The big"
ru44DngJYoA,806.56,5.68,"one, people keep interrupting me. Not"
ru44DngJYoA,809.839,5.041,"only do they not listen to my ideas,"
ru44DngJYoA,812.24,4.8,they interrupt me. And then my turn is
ru44DngJYoA,814.88,4.48,gone now. And the idea that I was going
ru44DngJYoA,817.04,4.239,to share was one that was going to be
ru44DngJYoA,819.36,3.44,able to change the course of the
ru44DngJYoA,821.279,4.56,meeting. But because they interrupted
ru44DngJYoA,822.8,5.12,"me, now I'm invisible. And that keeps"
ru44DngJYoA,825.839,3.361,happening to me. And then when they ask
ru44DngJYoA,827.92,4.0,"me, they go, ""Why do other people"
ru44DngJYoA,829.2,4.72,"interrupt me? Why does it happen?"" The"
ru44DngJYoA,831.92,4.479,reason is something that I don't think
ru44DngJYoA,833.92,4.719,you'd expect. Because it comes down to
ru44DngJYoA,836.399,3.601,vocal presence and physical presence.
ru44DngJYoA,838.639,3.681,And when I see them in the situations
ru44DngJYoA,840.0,4.399,"where people interrupt them, the reason"
ru44DngJYoA,842.32,4.72,is because their vocal presence is low
ru44DngJYoA,844.399,4.081,and their physical presence is low. So
ru44DngJYoA,847.04,3.52,"for example, everyone's sitting around a"
ru44DngJYoA,848.48,4.08,meeting table and and again I go look
ru44DngJYoA,850.56,3.12,send me an example right where you're
ru44DngJYoA,852.56,2.399,doing a big Zoom meeting and you're
ru44DngJYoA,853.68,2.64,allowed to send me this send it to me
ru44DngJYoA,854.959,2.721,let me see what's happening and when you
ru44DngJYoA,856.32,2.879,see it everyone's sitting down and then
ru44DngJYoA,857.68,3.36,the way she would bring up the question
ru44DngJYoA,859.199,3.76,it was a woman who asked me this and I
ru44DngJYoA,861.04,3.84,remember the way she'd ask it is very
ru44DngJYoA,862.959,3.761,low volume so look I've just got a quick
ru44DngJYoA,864.88,4.0,idea I would love to share with you all
ru44DngJYoA,866.72,4.08,very small body language and if I was
ru44DngJYoA,868.88,3.28,talking to you like this right now it is
ru44DngJYoA,870.8,4.32,so easy for you to interrupt this
ru44DngJYoA,872.16,6.16,version of me so easy whereas imagine
ru44DngJYoA,875.12,4.88,instead I take control of this. Stand.
ru44DngJYoA,878.32,2.959,"Stand. They go, ""Oh, I feel a bit little"
ru44DngJYoA,880.0,2.32,"bit weird."" Well, just prime the reason."
ru44DngJYoA,881.279,2.321,"Just go, ""Look, I've been sitting all"
ru44DngJYoA,882.32,2.4,day. Do you mind if I stand for my part
ru44DngJYoA,883.6,2.96,"of the presentation?"" ""Oh, great. All"
ru44DngJYoA,884.72,3.28,"right, then you just stand."" If you"
ru44DngJYoA,886.56,3.2,"stand now, all of a sudden, you're in a"
ru44DngJYoA,888.0,3.519,position of more authority. And if you
ru44DngJYoA,889.76,3.519,"use larger body language, stronger"
ru44DngJYoA,891.519,3.601,"volume, the version of me right now,"
ru44DngJYoA,893.279,3.36,this version is infinitely more
ru44DngJYoA,895.12,3.12,difficult for you to interrupt.
ru44DngJYoA,896.639,2.721,Absolutely. It's infinitely more
ru44DngJYoA,898.24,3.44,difficult because you've got more
ru44DngJYoA,899.36,4.0,authority. You've got more credibility.
ru44DngJYoA,901.68,4.48,"But again, because a lot of people in"
ru44DngJYoA,903.36,5.12,those situations fall victim to a lower
ru44DngJYoA,906.16,4.56,"default volume, a slower default rate of"
